comp_name,pressure,temperature,relative_humidity,number of size bins,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution
comp_name,pressure,temperature,relative_humidity,number of size bins,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution,particle_number_size_distribution
unit,hPa,K,%,no unit,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3,1/cm3
matrix,instrument,instrument,instrument,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10
title,p_sys,T_sys,RH_sys,nBn,bin_01,bin_02,bin_03,bin_04,bin_05,bin_06,bin_07,bin_08,bin_09,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71
statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty value,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uncertainty unit,,,,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
Characteristictype,Location,Location,Location,None,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Value,instrument internal,instrument internal,instrument internal,None,10.068 nm,10.354 nm,10.95 nm,11.58 nm,12.248 nm,12.954 nm,13.702 nm,14.494 nm,15.332 nm,16.219 nm,17.158 nm,18.153 nm,19.206 nm,20.322 nm,21.504 nm,22.756 nm,24.083 nm,25.489 nm,26.98 nm,28.56 nm,30.236 nm,32.013 nm,33.889 nm,35.9 nm,38.024 nm,40.278 nm,42.673 nm,45.217 nm,47.92 nm,50.794 nm,53.851 nm,57.103 nm,60.565 nm,64.251 nm,68.18 nm,72.368 nm,76.912 nm,81.604 nm,86.699 nm,92.145 nm,97.971 nm,104.209 nm,110.895 nm,118.068 nm,125.77 nm,134.051 nm,142.964 nm,152.569 nm,162.934 nm,174.134 nm,186.254 nm,199.39 nm,213.65 nm,229.155 nm,246.042 nm,264.467 nm,284.605 nm,306.654 nm,330.837 nm,357.407 nm,387.031 nm,418.874 nm,454.447 nm,493.766 nm,537.277 nm,585.478 nm,638.923 nm,698.229 nm,764.082 nm,837.249 nm,876.858 nm
instrumenttype,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps,smps
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
